id,name,x_coord,y_coord,v_kv
0,Ibiza,1.430833,38.91917,132
1,Santa Ponca,2.507937,39.53662,132
2,Valldurgent,2.549167,39.58417,220
3,Son Reus,2.678889,39.65083,220
4,Portol,2.724617,39.56686,220
5,Son Orlandis,2.744444,39.60028,220
6,Llubi,3.039444,39.67333,220
7,Murterar,3.0925,39.80944,220
8,Es Bessons,3.158056,39.58194,220
9,Cala Mesquida,3.427024,39.73827,132
10,Cala en Bosch,3.834227,39.93175,132
11,Cuitadella,3.855278,40.00333,132
12,Es Mercadal,4.095556,39.97694,132
13,Dragonera,4.236667,39.89111,132
14,Mao,4.258155,39.89706,132
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,"39.738611, 3.427222",,
